sampleid,group,PC1,PC2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
Area_250617_UT_A1_pos.raw_F1,Artichoke,-2.5828,-8.6486,-3.5274,2.0081,-1.8261,1.5357,2.1086,-3.3689
Area_250617_UT_A3_pos.raw_F3,Artichoke,-2.6728,-2.8589,-10.272,-0.44426,-3.5536,-2.2062,-2.2054,-1.4006
Area_250617_UT_A4_pos.raw_F4,Artichoke,-10.942,5.153,-1.0187,7.7323,2.7307,2.1332,1.9913,-4.6852
Area_250617_UT_A5_pos.raw_F5,Artichoke,-2.3878,-5.5625,-9.8663,-1.3646,-0.85805,-0.98751,1.1017,3.1654
Area_250617_UT_A6_pos.raw_F6,Artichoke,-6.5714,-3.0293,-7.2701,4.7375,6.7378,4.227,-3.5136,-0.60007
Area_250617_UT_A7_pos.raw_F7,Artichoke,-5.2843,-3.3885,1.7992,-5.6293,0.39152,5.7502,-1.7776,4.2514
Area_250617_UT_A8_pos.raw_F8,Artichoke,-5.4687,-2.4929,5.1101,5.2392,-9.525,-5.112,-4.7849,2.9728
Area_250617_UT_A9_pos.raw_F9,Artichoke,-4.8724,0.31905,-5.6356,0.99982,-2.6893,-6.7268,-1.4255,-3.9172
Area_250617_UT_A11_pos.raw_F11,Artichoke,-5.6492,-0.4936,-1.1765,-3.8114,-0.43146,1.7782,-2.5731,3.6681
Area_250617_UT_A12_pos.raw_F12,Artichoke,-4.6595,-9.7569,4.6844,6.4436,0.11181,-0.018937,0.39585,1.0638
Area_250617_UT_A13_pos.raw_F13,Artichoke,-8.8705,6.2966,-1.6296,-0.62995,-8.2636,5.3571,3.1318,-0.9383
Area_250617_UT_A14_pos.raw_F14,Artichoke,-3.1814,-4.4936,-1.0368,-4.7571,0.098319,0.30049,-4.293,-6.6648
Area_250617_UT_A15_pos.raw_F15,Artichoke,-10.322,9.0595,-1.3229,-4.74,-0.11338,0.56275,4.8256,2.32
Area_250617_UT_A16_pos.raw_F16,Artichoke,-3.2345,-5.9838,2.7326,-7.6917,-0.57343,-1.2203,1.9528,0.24294
Area_250617_UT_A17_pos.raw_F17,Artichoke,-4.5417,-3.1138,6.1102,-6.7176,-3.4611,-2.0361,-0.7311,0.56121
Area_250617_UT_A18_pos.raw_F18,Artichoke,-6.6011,-3.7891,4.913,1.0742,6.3418,-5.4435,2.9163,-0.21535
Area_250617_UT_A19_pos.raw_F19,Artichoke,-8.5835,4.7391,-2.3111,-0.94308,5.1889,-2.4529,-3.045,2.6482
Area_250617_UT_A21_pos.raw_F21,Artichoke,-5.6501,-4.9827,4.1302,-3.541,3.6824,0.72551,4.0436,-0.18594
Area_250617_UT_C1_pos.raw_F53,Control,9.5748,-5.7646,-3.1388,0.38509,-3.0046,0.88913,7.8912,0.32145
Area_250617_UT_C3_pos.raw_F55,Control,8.1297,-0.16682,-9.7402,0.8278,-1.4072,0.34764,3.2842,4.3951
Area_250617_UT_C4_pos.raw_F56,Control,8.0253,1.3108,-5.7677,2.0015,-3.3082,-7.3068,-0.77005,1.4767
Area_250617_UT_C5_pos.raw_F57,Control,7.3322,-0.4144,-8.9002,1.8538,3.0558,4.1476,2.6608,0.51484
Area_250617_UT_C6_pos.raw_F58,Control,9.3298,-2.3064,-9.5777,1.5592,3.4661,0.52676,-6.3857,-3.4964
Area_250617_UT_C7_pos.raw_F59,Control,7.9999,-0.56689,3.9678,-8.4403,-1.2164,3.8151,-3.4086,3.1714
Area_250617_UT_C8_pos.raw_F60,Control,1.1057,1.4011,10.056,15.691,-0.46547,5.2588,-2.9068,5.5484
Area_250617_UT_C9_pos.raw_F61,Control,3.458,5.4472,-4.3,5.5211,2.3321,-0.56297,2.7625,0.31186
Area_250617_UT_C11_pos.raw_F63,Control,5.7448,4.3809,-0.30311,-5.6728,-1.2279,2.0932,0.053785,6.6893
Area_250617_UT_C12_pos.raw_F64,Control,8.1581,-5.7237,5.0191,5.7543,-3.8611,-2.1599,-0.54496,-0.034711
Area_250617_UT_C13_pos.raw_F65,Control,1.956,11.776,1.5757,2.7256,-9.2278,3.425,1.0953,-6.1856
Area_250617_UT_C14_pos.raw_F66,Control,5.9596,-0.77787,1.4897,-1.2169,4.4228,6.8049,-1.2974,-4.4655
Area_250617_UT_C15_pos.raw_F67,Control,3.1701,12.112,-1.2746,-5.4729,1.3734,-3.7182,-3.0753,-2.212
Area_250617_UT_C16_pos.raw_F68,Control,6.8301,-0.63856,7.5666,-5.5022,1.3385,-0.37331,-0.87323,-2.8914
Area_250617_UT_C17_pos.raw_F69,Control,4.6902,1.4548,10.656,-1.2746,-0.69395,1.9051,-2.6018,-1.708
Area_250617_UT_C18_pos.raw_F70,Control,5.0418,1.2493,7.394,1.0646,3.4641,-8.364,3.2392,-0.5594
Area_250617_UT_C19_pos.raw_F71,Control,1.2147,9.5148,1.2699,2.3702,7.2349,-3.4229,-0.88875,4.4289
Area_250617_UT_C21_pos.raw_F73,Control,4.355,0.73933,9.5945,-0.139,3.7367,0.52891,3.6473,-4.2223
