index,Sub004.2P.H06,Sub002.2P.H06,Sub007.2P.H06,Sub012.2P.H06,Sub015.2P.H06,Sub017.2P-2.H10,Sub001.2P.H06,Sub013.2P.H06,Sub005.2P.H06,Sub014.2P.H06,Sub020.2P-2.H10,Sub019.2P-2.H10,Sub022.2P.H06,Sub024.2P.H06,Sub023.2P.H06,Sub025.2P.H06,Sub016.2P.H06,Sub028.2P.H06
Sub004.2P.H06,0.0,19.40366574105233,20.808848328605958,18.67032912577937,20.798639580550773,23.222452269893772,21.640727021274717,13.511342130942237,36.79323863734702,32.002083919498226,19.1043311113705,23.90851746447662,26.65354448020645,21.338956729157623,22.114949867122657,32.93000728591004,19.04992839273645,32.12868498283701
Sub002.2P.H06,19.40366574105233,0.0,19.87212983590225,21.421183522530455,22.501665128151707,22.78016441870438,18.939263123403883,18.17979598570742,34.95818745527426,32.74478340379646,18.2505630167501,27.1943018053197,27.616019435321455,22.5476312409872,23.58189790646512,33.7031601568918,22.57914822278204,31.758446955161098
Sub007.2P.H06,20.808848328605958,19.87212983590225,0.0,21.476099719949183,21.16662456302058,23.753943145271023,18.71399725692231,17.94104467471493,35.02553181326104,31.731941393941085,16.381877055896346,26.369387800689204,26.371313466295277,18.535122824359245,19.056397826012088,32.566943367784006,23.932150255655714,29.647376070638757
Sub012.2P.H06,18.67032912577937,21.421183522530455,21.476099719949183,0.0,24.05360207501067,20.657828814014703,22.395386306470524,18.851992047548244,36.558154078550956,31.664848281842556,20.322559251046847,28.258981156534904,27.734828979012317,24.011601573315147,21.014411444990177,33.71864045568653,22.173428603346338,32.169342559861256
Sub015.2P.H06,20.798639580550773,22.501665128151707,21.16662456302058,24.05360207501067,0.0,25.692078372916345,25.324814406471454,19.522053657495807,35.809387398067486,31.186249774239606,21.412234389597366,25.558897482843314,25.42492737955724,19.829601040480135,22.978481712384077,32.44179647374144,24.953596263011555,30.00448403159317
Sub017.2P-2.H10,23.222452269893772,22.78016441870438,23.753943145271023,20.657828814014703,25.692078372916345,0.0,22.201424958407546,24.530529097560102,37.36249362527548,33.396896626925795,20.439722478002814,30.504469428859682,29.5130867368413,25.673546210639376,24.03661734815367,34.30804893919742,22.804167350688104,33.62828765138262
Sub001.2P.H06,21.640727021274717,18.939263123403883,18.71399725692231,22.395386306470524,25.324814406471454,22.201424958407546,0.0,18.91749308008855,35.11436237548394,32.3350845967243,16.94114275242961,29.08660816580037,27.43091896339976,20.279013472473288,21.47865857313692,33.3075101767098,24.720406069862985,30.999529737846238
Sub013.2P.H06,13.511342130942237,18.17979598570742,17.94104467471493,18.851992047548244,19.522053657495807,24.530529097560102,18.91749308008855,0.0,35.92897433216029,31.025910256512272,17.473598111755525,24.612585785915737,25.64308528365752,18.958232887695527,20.534564520548212,32.20763187955263,19.66419787149093,30.435861834867048
Sub005.2P.H06,36.79323863734702,34.95818745527426,35.02553181326104,36.558154078550956,35.809387398067486,37.36249362527548,35.11436237548394,35.92897433216029,0.0,19.94851263858024,35.45725886360953,26.378410832299164,26.356368721432904,36.06445776867933,36.26431185098734,20.85036736457294,37.34796144723333,20.656843945416966
Sub014.2P.H06,32.002083919498226,32.74478340379646,31.731941393941085,31.664848281842556,31.186249774239606,33.396896626925795,32.3350845967243,31.025910256512272,19.94851263858024,0.0,31.151094563409114,18.83421335267921,19.482517107126213,31.54008877383502,31.868757537965124,13.22362467610248,33.69644526895844,14.002401948049977
Sub020.2P-2.H10,19.1043311113705,18.2505630167501,16.381877055896346,20.322559251046847,21.412234389597366,20.439722478002814,16.94114275242961,17.473598111755525,35.45725886360953,31.151094563409114,0.0,26.515795889334235,25.070889146854807,17.691117326596153,20.792984846491944,32.91833765041618,23.05016243430521,29.369320501628884
Sub019.2P-2.H10,23.90851746447662,27.1943018053197,26.369387800689204,28.258981156534904,25.558897482843314,30.504469428859682,29.08660816580037,24.612585785915737,26.378410832299164,18.83421335267921,26.515795889334235,0.0,19.296023667343892,26.180900254475123,27.448969844231137,21.28395485347398,28.72178267021597,19.311974814746733
Sub022.2P.H06,26.65354448020645,27.616019435321455,26.371313466295277,27.734828979012317,25.42492737955724,29.5130867368413,27.43091896339976,25.64308528365752,26.356368721432904,19.482517107126213,25.070889146854807,19.296023667343892,0.0,23.835724991754585,27.137990238255984,19.425132107370374,29.268268963865122,18.971233091662686
Sub024.2P.H06,21.338956729157623,22.5476312409872,18.535122824359245,24.011601573315147,19.829601040480135,25.673546210639376,20.279013472473288,18.958232887695527,36.06445776867933,31.54008877383502,17.691117326596153,26.180900254475123,23.835724991754585,0.0,18.564239563419374,32.158704079549224,25.45103458031787,28.922071383740466
Sub023.2P.H06,22.114949867122657,23.58189790646512,19.056397826012088,21.014411444990177,22.978481712384077,24.03661734815367,21.47865857313692,20.534564520548212,36.26431185098734,31.868757537965124,20.792984846491944,27.448969844231137,27.137990238255984,18.564239563419374,0.0,31.795854516928877,27.13055431452842,30.5583469638575
Sub025.2P.H06,32.93000728591004,33.7031601568918,32.566943367784006,33.71864045568653,32.44179647374144,34.30804893919742,33.3075101767098,32.20763187955263,20.85036736457294,13.22362467610248,32.91833765041618,21.28395485347398,19.425132107370374,32.158704079549224,31.795854516928877,0.0,34.40750370344703,16.759901892531218
Sub016.2P.H06,19.04992839273645,22.57914822278204,23.932150255655714,22.173428603346338,24.953596263011555,22.804167350688104,24.720406069862985,19.66419787149093,37.34796144723333,33.69644526895844,23.05016243430521,28.72178267021597,29.268268963865122,25.45103458031787,27.13055431452842,34.40750370344703,0.0,34.830375875244734
Sub028.2P.H06,32.12868498283701,31.758446955161098,29.647376070638757,32.169342559861256,30.00448403159317,33.62828765138262,30.999529737846238,30.435861834867048,20.656843945416966,14.002401948049977,29.369320501628884,19.311974814746733,18.971233091662686,28.922071383740466,30.5583469638575,16.759901892531218,34.830375875244734,0.0
