index,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus,Other
Sub004.2P.H06,694,0,433,187,169,4,97,70,45,124,9,43,120,0,114,0,0,6,0,0,310
Sub002.2P.H06,595,0,293,64,62,180,113,129,68,255,39,118,0,12,32,0,2,23,101,82,257
Sub007.2P.H06,606,0,165,161,176,46,106,123,28,32,115,11,47,91,0,27,55,16,76,39,505
Sub012.2P.H06,665,0,91,485,168,89,18,24,19,90,28,76,19,0,36,29,12,3,37,0,536
Sub015.2P.H06,598,0,242,35,278,11,95,47,93,31,121,12,29,1,58,118,12,5,1,7,631
Sub017.2P-2.H10,733,0,123,286,25,377,0,19,61,45,7,17,36,62,0,24,0,0,11,0,599
Sub001.2P.H06,394,0,321,131,37,304,27,113,27,67,90,86,49,109,0,13,115,122,7,26,387
Sub013.2P.H06,782,0,243,104,171,8,165,107,53,62,47,109,36,0,50,2,97,29,0,10,350
Sub005.2P.H06,17,1220,33,0,19,35,7,5,27,0,51,12,8,0,27,8,47,11,146,23,729
Sub014.2P.H06,208,1440,50,30,60,15,7,1,25,5,21,1,21,0,71,28,51,11,3,14,363
Sub020.2P-2.H10,755,1,343,87,41,122,92,51,42,48,22,9,89,48,0,39,64,35,64,21,452
Sub019.2P-2.H10,394,795,229,73,190,9,127,41,25,13,2,0,53,0,138,0,13,0,0,14,309
Sub022.2P.H06,429,731,194,60,88,1,14,35,17,39,46,0,29,0,17,148,39,46,6,23,463
Sub024.2P.H06,665,0,240,87,115,0,69,62,33,43,73,0,52,77,6,85,50,127,0,62,579
Sub023.2P.H06,413,0,171,314,213,11,119,22,17,31,29,39,0,262,39,85,16,68,13,31,532
Sub025.2P.H06,150,1529,60,18,42,0,16,11,40,6,31,0,9,17,35,21,16,32,0,7,385
Sub016.2P.H06,1098,0,182,239,0,8,0,146,281,0,18,174,80,0,36,0,0,0,2,0,161
Sub028.2P.H06,154,1322,87,21,74,2,38,7,12,17,65,0,25,3,0,28,31,34,8,70,427
